"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price","neighbourhood_cleansed","room_type","accommodates","beds","minimum_nights","maximum_nights","has_availability","review_scores_checkin","review_scores_communication"
"14171","93%",TRUE,"Private room in guesthouse","within a few hours",0,4.75,365,4.83,4.71,1,680,"Tlalpan","Private room",1,1,3,30,TRUE,4.71,4.71
"14172","100%",TRUE,"Entire rental unit","within an hour",9,5,365,4.78,4.78,1,1600,"Cuajimalpa de Morelos","Entire home/apt",2,1,1,1125,TRUE,4.78,4.78
"14173","99%",TRUE,"Private room in guest suite","within an hour",42,4.74,309,4.95,4.69,1,783,"Cuauhtémoc","Private room",2,1,1,1125,TRUE,4.69,4.69
"14174","91%",TRUE,"Entire condo","within an hour",10,4.9,364,5,4.9,2,1400,"Coyoacán","Entire home/apt",5,3,2,365,TRUE,4.9,4.9
"14175","100%",TRUE,"Entire loft","within an hour",88,4.95,35,4.76,4.94,1,569,"Cuauhtémoc","Entire home/apt",3,2,2,30,TRUE,4.94,4.94
"14176","100%",TRUE,"Entire rental unit","within an hour",38,5,365,4.97,4.97,1,1293,"Cuajimalpa de Morelos","Entire home/apt",2,1,1,1125,TRUE,4.97,4.97
"14177","100%",TRUE,"Entire rental unit","within an hour",16,4.81,365,4.94,4.94,1,1457,"Cuajimalpa de Morelos","Entire home/apt",2,1,1,1125,TRUE,4.94,4.94
"14178","94%",TRUE,"Entire loft","within a few hours",4,4.75,358,5,4.5,1.5,2100,"Cuauhtémoc","Entire home/apt",2,1,3,365,TRUE,4.5,4.5
"14179","100%",TRUE,"Entire condo","within a few hours",17,4.82,175,5,4.65,1,1500,"Venustiano Carranza","Entire home/apt",4,4,2,1125,TRUE,4.65,4.65
"14180","88%",TRUE,"Private room in rental unit","N/A",3,5,363,5,5,1,857,"Cuauhtémoc","Private room",1,1,1,365,TRUE,5,5
"14181","100%",TRUE,"Entire serviced apartment","within an hour",57,4.91,132,4.86,4.81,1,459,"Venustiano Carranza","Entire home/apt",5,4,1,1125,TRUE,4.81,4.81
"14182","100%",TRUE,"Entire condo","within an hour",31,4.71,63,4.87,4.42,1,2115,"Miguel Hidalgo","Entire home/apt",4,2,1,365,TRUE,4.42,4.42
"14183","94%",TRUE,"Private room in rental unit","within an hour",17,4.12,179,4.65,4.06,1,450,"Cuauhtémoc","Private room",2,1,1,365,TRUE,4.06,4.06
"14184","99%",TRUE,"Entire loft","within an hour",14,4.79,206,4.64,4.86,1,459,"Cuauhtémoc","Entire home/apt",2,NA,2,1125,TRUE,4.86,4.86
"14185","91%",TRUE,"Private room in rental unit","within a few hours",11,5,177,5,4.91,1,635,"Miguel Hidalgo","Private room",1,1,7,1125,TRUE,4.91,4.91
"14186","99%",FALSE,"Entire rental unit","within an hour",106,4.85,355,4.83,4.56,2,2989,"Cuauhtémoc","Entire home/apt",6,1,2,1125,TRUE,4.56,4.56
"14187","100%",TRUE,"Entire rental unit","within a few hours",22,4.73,268,5,4.91,2,1228,"Cuauhtémoc","Entire home/apt",3,2,30,300,TRUE,4.91,4.91
"14188","100%",TRUE,"Entire loft","within an hour",62,4.48,348,4.68,4.39,1,525,"Cuauhtémoc","Entire home/apt",2,2,2,1125,TRUE,4.39,4.39
"14189","50%",TRUE,"Entire rental unit","within a few hours",1,5,342,5,5,2,1429,"Cuauhtémoc","Entire home/apt",6,4,2,1125,TRUE,5,5
"14190","0%",TRUE,"Private room in condo","N/A",0,4.75,358,4.83,4.71,1,400,"Tlalpan","Private room",1,1,3,5,TRUE,4.71,4.71
"14191","83%",TRUE,"Entire cottage","within an hour",14,4.86,345,4.86,4.93,4.5,6900,"Tlalpan","Entire home/apt",15,10,1,15,TRUE,4.93,4.93
"14192","99%",TRUE,"Entire loft","within an hour",14,4.5,82,5,4.43,1,385,"Cuauhtémoc","Entire home/apt",2,1,1,45,TRUE,4.43,4.43
